created_at,text
925795816542961665,2017-11-01 18:44:57,b'RT @BitesBlog: Classes from @cookinguporg teach skills to make it simpler for home cooks to prepare good meals. https://t.co/eYRFUbpgfv htt\xe2\x80\xa6'
925789245620543490,2017-11-01 18:18:51,"b""RT @BitesBlog: .@HattieBs new Eighth Avenue location opens tomorrow. (The hot chicken spot's taking over former home of The Hook.)  https:/\xe2\x80\xa6"""
925784521290772481,2017-11-01 18:00:04,"b""Love coffeeshops but looking for more privacy? Win a 2-month Hot Desk membership at Nashville's new @WeWork offices. https://t.co/p1BrEfh5cr"""
925782828595412992,2017-11-01 17:53:21,b'RT @NashvilleCream: Another massive show announcement: @U2 is headed to @BrdgstoneArena in the spring. https://t.co/nwWIZxwKZY https://t.co\xe2\x80\xa6'
925774998605877249,2017-11-01 17:22:14,"b""'People Only Die of Love in Movies,' film writing by the Scene's late editor Jim Ridley, is available for pre-order\xe2\x80\xa6 https://t.co/bmbSWPlgmz"""
925761047000244225,2017-11-01 16:26:48,"b""RT @iamstevenhale: Here's the Scene story from yesterday, on sexual assault allegations against Webster https://t.co/xsH0Ghsze8 https://t.c\xe2\x80\xa6"""
925756624228274176,2017-11-01 16:09:13,b'RT @NashvilleCream: Country legend @garthbrooks has announced a homecoming gig at @BrdgstoneArena \xe2\x80\x94 but how many will there be?\nhttps://t.c\xe2\x80\xa6'
925753585664757760,2017-11-01 15:57:09,"b""RT @steveharuch: If you're in Nashville, I'd love for you to buy a copy from @ParnassusBooks1. That link is here: https://t.co/5UhvSEaX1F"""
925753514646745090,2017-11-01 15:56:52,"b""RT @steveharuch: I'm thrilled to say that you can now pre-order People Only Die of Love in Movies: Film Writing by Jim Ridley https://t.co/\xe2\x80\xa6"""
925748314334728193,2017-11-01 15:36:12,"b'#CraftyBastards is Sat! Event will provide a variety of vendors &amp; goods such as vintage prints, handmade clothing a\xe2\x80\xa6 https://t.co/LSgWxyUSKV'"
925735189011103746,2017-11-01 14:44:03,b'ICYMI ... https://t.co/O0viRTvw5z'
925702554306207744,2017-11-01 12:34:22,"b'RT @scavendish: Hey everyone, it\xe2\x80\x99s time for an edit meeting. https://t.co/QCLimGSSv1'"
925495948138213377,2017-10-31 22:53:23,"b""RT @JeremyElrod26: If the ten acres are still in the soccer stadium proposal when the new version is presented to the Metro Council, I'll m\xe2\x80\xa6"""
925463206209998848,2017-10-31 20:43:17,b'RT @NashvilleScene: Former country singer accuses PR executive Kirt Webster of sexual misconduct\nhttps://t.co/GCPaHuwKvO https://t.co/huW2q\xe2\x80\xa6'
925463167077109760,2017-10-31 20:43:07,b'Former country singer accuses PR executive Kirt Webster of sexual misconduct\nhttps://t.co/GCPaHuwKvO https://t.co/huW2qXq3Lr'
925451934793953281,2017-10-31 19:58:29,"b""RT @NashvilleCream: .@Landladyband drops in at @FondObject for All Hallows' Eve, with assists from @POLYLovesYou and more.\nhttps://t.co/g1d\xe2\x80\xa6"""
925432336895889408,2017-10-31 18:40:37,"b'RT @BitesBlog: Two vegan cookbooks target specific categories, including athletes. https://t.co/5oNVWvk6Mh https://t.co/IcFXh12GwE'"
